#wavelength [nm],"Tavg, 0.0 deg AOI"
491.03,4.45E-13
491.04,4.46E-13
491.05,4.48E-13
491.06,4.49E-13
491.07,4.50E-13
491.08,4.51E-13
491.09,4.53E-13
491.1,4.54E-13
491.11,4.55E-13
491.12,4.57E-13
491.13,4.58E-13
491.14,4.59E-13
491.15,4.61E-13
491.16,4.62E-13
491.17,4.63E-13
491.18,4.65E-13
491.19,4.66E-13
491.2,4.67E-13
491.21,4.69E-13
491.22,4.70E-13
491.23,4.71E-13
491.24,4.73E-13
491.25,4.74E-13
491.26,4.76E-13
491.27,4.77E-13
491.28,4.78E-13
491.29,4.80E-13
491.3,4.81E-13
491.31,4.83E-13
491.32,4.84E-13
491.33,4.85E-13
491.34,4.87E-13
491.35,4.88E-13
491.36,4.90E-13
491.37,4.91E-13
491.38,4.93E-13
491.39,4.94E-13
491.4,4.96E-13
491.41,4.97E-13
491.42,4.99E-13
491.43,5.00E-13
491.44,5.02E-13
491.45,5.03E-13
491.46,5.05E-13
491.47,5.06E-13
491.48,5.08E-13
491.49,5.09E-13
491.5,5.11E-13
491.51,5.12E-13
491.52,5.14E-13
491.53,5.16E-13
491.54,5.17E-13
491.55,5.19E-13
491.56,5.20E-13
491.57,5.22E-13
491.58,5.24E-13
491.59,5.25E-13
491.6,5.27E-13
491.61,5.28E-13
491.62,5.30E-13
491.63,5.32E-13
491.64,5.33E-13
491.65,5.35E-13
491.66,5.37E-13
491.67,5.39E-13
491.68,5.40E-13
491.69,5.42E-13
491.7,5.44E-13
491.71,5.45E-13
491.72,5.47E-13
491.73,5.49E-13
491.74,5.51E-13
491.75,5.52E-13
491.76,5.54E-13
491.77,5.56E-13
491.78,5.58E-13
491.79,5.59E-13
491.8,5.61E-13
491.81,5.63E-13
491.82,5.65E-13
491.83,5.67E-13
491.84,5.69E-13
491.85,5.70E-13
491.86,5.72E-13
491.87,5.74E-13
491.88,5.76E-13
491.89,5.78E-13
491.9,5.80E-13
491.91,5.82E-13
491.92,5.84E-13
491.93,5.85E-13
491.94,5.87E-13
491.95,5.89E-13
491.96,5.91E-13
491.97,5.93E-13
491.98,5.95E-13
491.99,5.97E-13
492,5.99E-13
492.01,6.01E-13
492.02,6.03E-13
492.03,6.05E-13
492.04,6.07E-13
492.05,6.09E-13
492.06,6.11E-13
492.07,6.13E-13
492.08,6.15E-13
492.09,6.18E-13
492.1,6.20E-13
492.11,6.22E-13
492.12,6.24E-13
492.13,6.26E-13
492.14,6.28E-13
492.15,6.30E-13
492.16,6.32E-13
492.17,6.35E-13
492.18,6.37E-13
492.19,6.39E-13
492.2,6.41E-13
492.21,6.43E-13
492.22,6.46E-13
492.23,6.48E-13
492.24,6.50E-13
492.25,6.52E-13
492.26,6.55E-13
492.27,6.57E-13
492.28,6.59E-13
492.29,6.61E-13
492.3,6.64E-13
492.31,6.66E-13
492.32,6.68E-13
492.33,6.71E-13
492.34,6.73E-13
492.35,6.75E-13
492.36,6.78E-13
492.37,6.80E-13
492.38,6.83E-13
492.39,6.85E-13
492.4,6.88E-13
492.41,6.90E-13
492.42,6.92E-13
492.43,6.95E-13
492.44,6.97E-13
492.45,7.00E-13
492.46,7.02E-13
492.47,7.05E-13
492.48,7.07E-13
492.49,7.10E-13
492.5,7.13E-13
492.51,7.15E-13
492.52,7.18E-13
492.53,7.20E-13
492.54,7.23E-13
492.55,7.26E-13
492.56,7.28E-13
492.57,7.31E-13
492.58,7.34E-13
492.59,7.36E-13
492.6,7.39E-13
492.61,7.42E-13
492.62,7.44E-13
492.63,7.47E-13
492.64,7.50E-13
492.65,7.53E-13
492.66,7.55E-13
492.67,7.58E-13
492.68,7.61E-13
492.69,7.64E-13
492.7,7.67E-13
492.71,7.70E-13
492.72,7.73E-13
492.73,7.75E-13
492.74,7.78E-13
492.75,7.81E-13
492.76,7.84E-13
492.77,7.87E-13
492.78,7.90E-13
492.79,7.93E-13
492.8,7.96E-13
492.81,7.99E-13
492.82,8.02E-13
492.83,8.05E-13
492.84,8.08E-13
492.85,8.11E-13
492.86,8.14E-13
492.87,8.18E-13
492.88,8.21E-13
492.89,8.24E-13
492.9,8.27E-13
492.91,8.30E-13
492.92,8.33E-13
492.93,8.37E-13
492.94,8.40E-13
492.95,8.43E-13
492.96,8.46E-13
492.97,8.50E-13
492.98,8.53E-13
492.99,8.56E-13
493,8.60E-13
493.01,8.63E-13
493.02,8.66E-13
493.03,8.70E-13
493.04,8.73E-13
493.05,8.76E-13
493.06,8.80E-13
493.07,8.83E-13
493.08,8.87E-13
493.09,8.90E-13
493.1,8.94E-13
493.11,8.97E-13
493.12,9.01E-13
493.13,9.05E-13
493.14,9.08E-13
493.15,9.12E-13
493.16,9.15E-13
493.17,9.19E-13
493.18,9.23E-13
493.19,9.26E-13
493.2,9.30E-13
493.21,9.34E-13
493.22,9.38E-13
493.23,9.41E-13
493.24,9.45E-13
493.25,9.49E-13
493.26,9.53E-13
493.27,9.57E-13
493.28,9.61E-13
493.29,9.65E-13
493.3,9.68E-13
493.31,9.72E-13
493.32,9.76E-13
493.33,9.80E-13
493.34,9.84E-13
493.35,9.88E-13
493.36,9.92E-13
493.37,9.97E-13
493.38,1.00E-12
493.39,1.00E-12
493.4,1.01E-12
493.41,1.01E-12
493.42,1.02E-12
493.43,1.02E-12
493.44,1.03E-12
493.45,1.03E-12
493.46,1.03E-12
493.47,1.04E-12
493.48,1.04E-12
493.49,1.05E-12
493.5,1.05E-12
493.51,1.06E-12
493.52,1.06E-12
493.53,1.07E-12
493.54,1.07E-12
493.55,1.07E-12
493.56,1.08E-12
493.57,1.08E-12
493.58,1.09E-12
493.59,1.09E-12
